Date,Open,High,Low,Close,Adj Close,Volume
2023-10-02,302.739990,307.179993,301.630005,306.820007,306.820007,16265600
2023-10-03,304.260010,306.769989,299.640015,300.940002,300.940002,17362300
2023-10-04,298.730011,306.899994,298.500000,305.579987,305.579987,16880500
2023-10-05,304.630005,306.209991,299.500000,304.790009,304.790009,19130000
2023-10-06,301.440002,316.309998,300.910004,315.429993,315.429993,21784000
2023-10-09,312.500000,320.329987,311.820007,318.359985,318.359985,22503700
2023-10-10,319.119995,324.660004,318.160004,321.839996,321.839996,19038000
2023-10-11,323.010010,328.839996,322.950012,327.820007,327.820007,22036300
2023-10-12,328.000000,330.540009,322.690002,324.160004,324.160004,20530500
2023-10-13,323.529999,325.049988,312.369995,314.690002,314.690002,21341000
2023-10-16,318.640015,321.820007,315.519989,321.149994,321.149994,16536100
2023-10-17,318.179993,324.399994,317.299988,324.000000,324.000000,16387800
2023-10-18,321.390015,325.940002,315.559998,316.970001,316.970001,16851000
2023-10-19,319.880005,321.890015,311.750000,312.809998,312.809998,18709200
2023-10-20,314.140015,315.299988,306.470001,308.649994,308.649994,22287400
2023-10-23,309.500000,317.359985,307.260010,314.010010,314.010010,17796800
2023-10-24,316.779999,318.350006,310.630005,312.549988,312.549988,19525500
2023-10-25,310.000000,310.880005,298.839996,299.529999,299.529999,42192500
2023-10-26,295.000000,295.000000,279.399994,288.350006,288.350006,66684100
2023-10-27,294.480011,299.309998,292.970001,296.730011,296.730011,29596300
2023-10-30,299.089996,309.399994,299.049988,302.660004,302.660004,28435100
2023-10-31,303.309998,303.679993,296.859985,301.269989,301.269989,19434200
