Date,Open,High,Low,Close,Adj Close,Volume
2023-10-02,117.529999,117.790001,114.550003,115.629997,114.582222,14395000
2023-10-03,115.440002,116.440002,115.029999,115.830002,114.780411,13297100
2023-10-04,114.050003,114.089996,110.500000,111.500000,110.489647,19622200
2023-10-05,109.800003,110.900002,108.699997,108.989998,108.002388,20128800
2023-10-06,105.730003,108.269997,105.110001,107.169998,106.198883,25363400
2023-10-09,110.440002,112.070000,109.519997,110.919998,109.914902,22369900
2023-10-10,111.019997,111.449997,110.120003,110.449997,109.449158,13892000
2023-10-11,106.959999,107.169998,104.830002,106.489998,105.525040,57939000
2023-10-12,107.589996,107.839996,106.089996,106.470001,105.505226,31183000
2023-10-13,108.029999,110.199997,107.839996,109.870003,108.874420,30276500
2023-10-16,110.500000,110.680000,109.129997,109.949997,108.953690,18452000
2023-10-17,109.730003,111.800003,109.680000,111.389999,110.380646,19775400
2023-10-18,111.820000,113.389999,111.699997,112.949997,111.926506,23380300
2023-10-19,112.720001,113.970001,111.330002,113.019997,111.995872,20972500
2023-10-20,112.919998,113.320000,110.790001,111.080002,110.073456,22439800
2023-10-23,110.629997,110.959999,108.680000,109.449997,108.458221,18185000
2023-10-24,109.699997,109.820000,108.120003,108.389999,107.407829,16786100
2023-10-25,108.519997,109.500000,108.129997,108.589996,107.606010,22047300
2023-10-26,107.449997,108.339996,106.500000,107.599998,106.624985,18768300
2023-10-27,108.889999,109.860001,104.959999,105.550003,104.593567,23092000
2023-10-30,105.739998,106.419998,105.209999,105.879997,104.920570,19379900
2023-10-31,105.580002,106.160004,104.540001,105.849998,104.890846,22185200
